order_release_id,order_line_id,return_type,return_date,packet_id,customer_paid_amount,total_settlement,total_actual_settlement,amount_pending_settlement,prepaid_commission_deduction,prepaid_logistics_deduction,prepaid_payment,postpaid_commission_deduction,postpaid_logistics_deduction,postpaid_payment,return_id,upload_timestamp
8307935180,10307906511,return_refund,2025-02-11 14:51:21,9660279802,949.001,-846.404,-846.404,0.0,138.68,-56.62466,-759.0,34.716,-14.17534,-190.0,100015025082,2025-03-31 15:59:51.184547
8290046704,10290017902,return_refund,2025-01-26 11:09:08,9654460578,599.004,-572.155,-572.155,0.0,0.0,0.0,0.0,109.445,-82.6,-599.0,100010850486,2025-03-31 15:59:51.184547
8318346097,10318317540,return_refund,2025-02-17 11:32:47,9663564633,798.998,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100016738551,2025-03-31 15:59:51.184547
8309395053,10309366412,return_refund,2025-02-11 08:39:07,9660636894,698.996,-642.082,-642.082,0.0,127.718,-70.8,-699.0,0.0,0.0,0.0,100014545625,2025-03-31 15:59:51.184547
8293685515,10293656760,return_refund,2025-01-30 09:51:51,9655618498,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100012013161,2025-03-31 15:59:51.184547
8302713722,10302685029,return_refund,2025-02-03 09:36:05,9658455904,948.99,-834.604,-834.604,0.0,0.0,0.0,0.0,173.396,-59.0,-949.0,100013110861,2025-03-31 15:59:51.184547
8305767247,10305738567,return_refund,2025-02-06 08:08:57,9659475805,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100013570026,2025-03-31 15:59:51.184547
8297860837,10297832127,return_refund,2025-02-03 04:30:13,9657017230,798.998,-723.811,-723.811,0.0,131.372,-63.71056,-719.0,14.617,-7.08944,-80.0,100013008135,2025-03-31 15:59:51.184547
8291420051,10291391261,exchange,2025-01-26 12:54:32,9654990410,949.001,-846.404,-846.404,0.0,173.396,-70.8,-949.0,0.0,0.0,0.0,100011390835,2025-03-31 15:59:51.184547
8316236771,10316208207,return_refund,2025-02-12 11:49:49,9662854484,799.008,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100015469677,2025-03-31 15:59:51.184547
8319386835,10319358293,return_refund,2025-02-20 05:40:21,9663941177,948.99,-834.604,-834.604,0.0,173.396,-59.0,-949.0,0.0,0.0,0.0,100017381798,2025-03-31 15:59:51.184547
8309789745,10309761107,return_refund,2025-02-10 09:12:45,9660722607,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100014710080,2025-03-31 15:59:51.184547
8305742399,10305713719,exchange,2025-02-07 09:58:33,9659489946,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100014319878,2025-03-31 15:59:51.184547
8298072432,10298043723,return_refund,2025-02-01 12:17:36,9656995745,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100012584875,2025-03-31 15:59:51.184547
8311590632,10311562017,return_refund,2025-02-13 10:27:16,9661410559,699.006,-665.682,-665.682,0.0,127.718,-94.4,-699.0,0.0,0.0,0.0,100015228838,2025-03-31 15:59:51.184547
8306334865,10306306186,return_refund,2025-02-10 14:07:06,9659718503,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100014698271,2025-03-31 15:59:51.184547
8317248166,10317219615,exchange,2025-02-13 10:54:41,9663161728,799.008,-723.811,-723.811,0.0,0.0,0.0,0.0,145.989,-70.8,-799.0,100016388924,2025-03-31 15:59:51.184547
8282905745,10282876788,return_refund,2025-01-22 15:20:48,9652031244,999.002,-928.569,-928.569,0.0,164.26,-100.8782,-899.0,18.271,-11.2218,-100.0,100009835418,2025-03-31 15:59:51.184547
8319918818,10319890283,return_refund,2025-02-19 13:40:52,9664047116,698.996,-665.682,-665.682,0.0,127.718,-94.4,-699.0,0.0,0.0,0.0,100016879325,2025-03-31 15:59:51.184547
8294901462,10294872719,return_refund,2025-02-02 12:41:43,9656254335,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100012803504,2025-03-31 15:59:51.184547
8307352466,10307323793,return_refund,2025-02-10 08:25:10,9660038627,949.001,-870.004,-870.004,0.0,36.975,-20.12962,-202.36,136.421,-74.27038,-746.64,100014777117,2025-03-31 15:59:51.184547
8295794746,10295766008,exchange,2025-01-28 10:43:51,9656166659,949.001,-834.604,-834.604,0.0,173.396,-59.0,-949.0,0.0,0.0,0.0,100011697807,2025-03-31 15:59:51.184547
8294995071,10294966329,exchange,2025-01-30 12:32:50,9656034902,798.998,-723.811,-723.811,0.0,0.0,0.0,0.0,145.989,-70.8,-799.0,100012374433,2025-03-31 15:59:51.184547
8317518019,10317489469,return_refund,2025-02-15 08:03:53,9663308102,798.998,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100016123153,2025-03-31 15:59:51.184547
8319542097,10319513556,exchange,2025-02-14 11:19:00,9663940170,899.0,-793.74,-793.74,0.0,0.0,0.0,0.0,164.26,-59.0,-899.0,100016656207,2025-03-31 15:59:51.184547
8288434651,10288405822,return_refund,2025-01-24 09:06:24,9653920014,999.002,-899.069,-899.069,0.0,0.0,0.0,0.0,182.531,-82.6,-999.0,100010291020,2025-03-31 15:59:51.184547
8314659326,10314630730,return_refund,2025-02-16 08:42:42,9662240694,599.004,-572.154,-572.154,0.0,98.483,-74.32584,-539.0,10.963,-8.27416,-60.0,100016317779,2025-03-31 15:59:51.184547
8307514342,10307485670,return_refund,2025-02-08 03:55:34,9660087597,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100014149576,2025-03-31 15:59:51.184547
8278326520,10278297463,return_refund,2025-01-30 07:12:57,9650449189,449.001,-479.061,-479.061,0.0,0.0,0.0,0.0,82.039,-112.1,-449.0,100011821110,2025-03-31 15:59:51.184547
8297858068,10297829358,return_refund,2025-02-02 09:50:14,9656963075,698.996,-642.083,-642.083,0.0,67.224,-37.26558,-367.92,60.493,-33.53442,-331.08,100012724164,2025-03-31 15:59:51.184547
8289675782,10289646978,return_refund,2025-02-03 09:41:34,9654315589,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100012816454,2025-03-31 15:59:51.184547
8285546197,10285517304,return_refund,2025-01-27 09:42:30,9653116259,899.0,-805.54,-805.54,0.0,147.815,-63.71174,-809.0,16.445,-7.08826,-90.0,100011255823,2025-03-31 15:59:51.184547
8312377844,10312349236,exchange,2025-02-10 14:36:32,9661587991,948.99,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100015979252,2025-03-31 15:59:51.184547
8307677482,10307648811,return_refund,2025-02-10 07:49:48,9660142318,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100014793337,2025-03-31 15:59:51.184547
8301509046,10301480352,exchange,2025-02-01 20:31:58,9658101451,799.008,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100012763947,2025-03-31 15:59:51.184547
8297393422,10297364706,return_refund,2025-01-31 07:11:59,9656864520,949.001,-870.004,-870.004,0.0,0.0,0.0,0.0,173.396,-94.4,-949.0,100012190032,2025-03-31 15:59:51.184547
8318057504,10318028956,return_refund,2025-02-18 13:56:50,9663420814,599.004,-572.155,-572.155,0.0,0.0,0.0,0.0,109.445,-82.6,-599.0,100016783857,2025-03-31 15:59:51.184547
8319977412,10319948879,return_refund,2025-02-19 11:55:09,9664103697,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100017182555,2025-03-31 15:59:51.184547
