order_release_id,customer_paid_amount,total_commission_plus_tcs_tds_deduction,total_logistics_deduction,vendor_payout_amount,source_file
8300536286,999.002,-182.531,-181.6964,634.7726,02-2025
8304237117,599.004,-109.445,-77.8564,411.6986,02-2025
8304538739,599.0039999999999,-109.445,-70.7764,418.7786,02-2025
8310290585,798.998,-145.989,-90.86,562.151,02-2025
8294182938,798.998,-145.989,-90.86,562.151,02-2025
8315090042,799.008,-145.989,-84.96,568.0509999999999,02-2025
8307905420,599.004,-109.445,-204.1164,285.4386,02-2025
8309228322,699.0060000000001,-127.717,-80.24,491.043,02-2025
8317912418,799.008,-145.989,-84.96,568.051,02-2025
8308034569,798.998,-145.989,-90.86,562.1510000000001,02-2025
8316187650,599.004,-109.445,-213.58,275.975,02-2025
8317955050,948.99,-173.396,-83.7564,691.8476,02-2025
8294776260,998.992,-182.531,-181.72,634.749,02-2025
8293171973,949.001,-173.396,-134.52,641.0840000000001,02-2025
8303593422,798.998,-145.989,-110.92,542.091,02-2025
8315905236,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8299169480,799.008,-145.989,-86.14,566.8709999999999,02-2025
8302247289,798.998,-145.989,-176.9764,476.0346,02-2025
8291218506,798.998,-145.989,-181.72,471.29100000000005,02-2025
8299738601,599.004,-109.445,-177.0,312.555,02-2025
8305428103,799.008,-145.989,-80.2164,572.7946,02-2025
8313598896,599.004,-109.445,-213.58,275.975,02-2025
8297926869,798.998,-145.989,-181.72,471.291,02-2025
8319765028,599.0039999999999,-109.445,-79.0364,410.5186,02-2025
8290605104,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8312236090,798.998,-145.989,-86.1164,566.8946,02-2025
8315591572,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8292259220,698.9960000000001,-127.718,-177.0,394.282,02-2025
8296875619,798.998,-145.989,-129.7764,523.2346,02-2025
8303159128,748.9970000000001,-136.854,-177.0,435.146,02-2025
8296456546,599.004,-109.445,-177.0,312.555,02-2025
8294769842,698.9960000000001,-127.718,-79.0364,492.2456,02-2025
8318789695,798.998,-145.989,-176.9764,476.0346,02-2025
8294198930,649.005,-118.581,-76.0864,454.3326,02-2025
8297359383,799.008,-145.989,-80.2164,572.7946,02-2025
8304343860,599.004,-109.445,-213.58,275.975,02-2025
8315879963,798.998,-145.989,-181.72,471.291,02-2025
8296607874,798.998,-145.989,-129.7764,523.2346,02-2025
8300242585,798.998,-145.989,-84.3464,568.6646,02-2025
8311914492,599.004,-109.445,-167.5364,322.0186,02-2025
8320084056,798.998,-145.988,-90.86,562.1519999999999,02-2025
8289041892,798.998,-145.989,-90.86,562.151,02-2025
8292478961,699.0060000000001,-127.718,-86.14,485.14200000000005,02-2025
8305447401,798.998,-145.989,-176.9764,476.0346,02-2025
8296163849,999.002,-182.531,-218.3,598.1690000000001,02-2025
8315106147,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8293190213,798.998,-145.989,-181.72,471.291,02-2025
8323065629,649.006,-118.581,-80.24,450.179,02-2025
8299236520,599.004,-109.445,-213.58,275.975,02-2025
8278258404,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8310037170,798.998,-145.989,-86.1164,566.8946,02-2025
8297442183,798.998,-145.989,-181.72,471.29100000000005,02-2025
8305370059,699.0060000000001,-127.718,-73.1364,498.14560000000006,02-2025
8319816949,899.0,-164.26,-99.0964,635.6436,02-2025
8287860830,798.998,-145.989,-90.86,562.151,02-2025
8290919504,999.002,-182.531,-181.72,634.749,02-2025
8319915245,599.004,-109.445,-204.1164,285.4386,02-2025
8289823452,748.9970000000001,-136.853,-80.2164,531.9305999999999,02-2025
8311364402,599.0039999999999,-109.445,-70.7764,418.7786,02-2025
8312284176,699.0060000000001,-127.718,-73.1364,498.14560000000006,02-2025
8302173214,948.99,-173.396,-84.96,690.644,02-2025
8311657894,749.0079999999999,-136.853,-80.24,531.907,02-2025
8315643988,799.008,-145.989,-81.3964,571.6146,02-2025
8294547535,599.004,-109.445,-204.1164,285.4386,02-2025
8302097679,599.004,-109.447,-213.58,275.973,02-2025
8317952772,948.99,-173.396,-83.7564,691.8476,02-2025
8317972842,798.998,-145.988,-181.72,471.292,02-2025
8305564911,899.0,-164.26,-215.9164,518.8235999999999,02-2025
8318674813,848.999,-155.124,-92.04,601.836,02-2025
8318508209,749.0079999999999,-136.853,-80.24,531.907,02-2025
8301924840,799.008,-145.989,-80.2164,572.7946,02-2025
